60300;CUPLE 1  [13/82];51.165599;22.197501
60301;CUPLE 2  [13/83];         ;         
60526;CUPLE 3  [13/84];51.166027;22.186420
60874;CUPLE SZKLARNIA  [13/125];51.155175;22.175582
60500;CYGANÓWKA  [38/22];51.219350;22.222033
30996;CYNKÓW;51.289984;22.247615
60175;CZAJKI  [37/36];51.255288;22.312976
30987;CZESŁAWICE  1;51.305114;22.257828
30988;CZESŁAWICE  2;51.301872;22.267928
30989;CZESŁAWICE  3;51.305950;22.253292
30990;CZESŁAWICE  4;51.303992;22.258311
35382;CZESŁAWICE  5;51.309714;22.261586
35383;CZESŁAWICE  6;51.305292;22.269078
35384;CZESŁAWICE  7;51.301656;22.280953
35385;CZESŁAWICE  8;51.294592;22.275169
35386;CZESŁAWICE  9;51.310439;22.272372
35387;CZESŁAWICE 10;51.317247;22.277211
35388;CZESŁAWICE 11;51.322106;22.273472
30062;CZOŁNA 1;51.538389;22.148373
30063;CZOŁNA 2;51.527756;22.144854
30064;CZOŁNA 3;51.546124;22.135735
31215;CZOŁNA 4;51.537359;22.143610
31216;CZOŁNA 5;51.536983;22.154810
60185;CZÓŁNA 1  [40/8];         ;         
60186;CZÓŁNA 2  [40/9];         ;         
60187;CZÓŁNA 3  [40/10];         ;         
60188;CZÓŁNA 4  [40/11];         ;         
60189;CZÓŁNA 5  [40/12];         ;         
60190;CZÓŁNA 6  [40/13];51.143950;22.313950
60193;CZÓŁNA KOL. 1  [40/14];51.136100;22.355633
60845;CZÓŁNA KOL. 2  [13/123];51.118742;22.331751
60433;CZUBÓWKA  [31/1];         ;         
60828;CZUBÓWKA SBTK   [31/82];         ;         
30769;ĆWIĘTALKA 1;51.057381;21.933092
31450;ĆWIĘTALKA 2;51.054806;21.922242
35359;DAROWNE 1;51.161662;22.039068
35360;DAROWNE 2;51.162733;22.051014
30065;DĄBIA NOWA 1;51.664517;21.915128
30066;DĄBIA NOWA 2;51.658648;21.916824
30067;DĄBIA NOWA 3;51.651514;21.922681
30068;DĄBIA NOWA 4;51.645827;21.921866
30082;DĄBIA NOWA 5;51.645881;21.930771
30661;DĄBIA NOWA 6;51.656610;21.898713
30702;DĄBIA NOWA 7;51.652531;21.934656
30703;DĄBIA RDP;         ;         
30069;DĄBIA STARA 1;51.652136;21.894186
30070;DĄBIA STARA 2;51.647533;21.899421
30662;DĄBIA STARA 4;51.662242;21.889508
30663;DĄBIA STARA 5;51.667199;21.891932
60897;DĄBROWA BÓR 1  [16/1];50.966975;22.223897
61044;DĄBROWA BÓR 2  [16/113];         ;         
60575;DĄBROWA BÓR KAJETANÓWKA  [14/14];50.979150;22.172879
30760;DĄBROWA GODOWSKA;51.078019;22.062389
60488;DĄBROWA KAZIMIERÓW  [13/101];51.043603;22.282723
60306;DĄBROWA WRONOWSKA 1  [15/1];         ;         
60307;DĄBROWA WRONOWSKA 2  [8/15];         ;         
60620;DĄBROWA WRONOWSKA 3  [8/16];         ;         
20107;DĄBROWICA KOL 1;51.284212;22.432709
35043;DĄBRÓWKA 1;51.284906;21.936172
35044;DĄBRÓWKA 2;51.291575;21.944831
31471;DĄBRÓWKA 3;51.287522;21.925181
31472;DĄBRÓWKA 4;51.283583;21.946808
30072;DĘBA 1;51.444597;22.182044
30716;DĘBA 2;51.440752;22.177069
30717;DĘBA 3;51.436489;22.173103
30073;DĘBCZYNA;51.555651;22.193048
30759;DĘBINY;51.149581;22.065486
30083;DĘBLIN ST-  1;51.583387;21.817735
30084;DĘBLIN ST-  2;51.575625;21.829456
30085;DĘBLIN ST-  3;51.568411;21.822003
30086;DĘBLIN ST-  4;51.562934;21.838013
30087;DĘBLIN ST-  5;51.582683;21.833064
30088;DĘBLIN ST-  6;51.577809;21.838457
30089;DĘBLIN ST-  7;51.572542;21.851886
30090;DĘBLIN ST-  8;51.566602;21.846438
30091;DĘBLIN ST-  9;51.569861;21.856083
30092;DĘBLIN ST- 10;51.562963;21.850402
30093;DĘBLIN ST- 11;51.560628;21.855628
30094;DĘBLIN ST- 12;51.564202;21.861463
30095;DĘBLIN ST- 13;51.565820;21.873525
30096;DĘBLIN ST- 14;51.568706;21.883264
30097;DĘBLIN ST- 15;         ;         
30098;DĘBLIN ST- 16;51.567202;21.866805
30099;DĘBLIN ST- 17;51.568183;21.840861
30100;DĘBLIN ST- 18;51.578413;21.821997
30101;DĘBLIN ST- 19;51.562325;21.830413
30102;DĘBLIN ST- 20;51.567174;21.836808
30103;DĘBLIN ST- 21;51.567711;21.833224
30104;DĘBLIN ST- 22;51.569081;21.831400
30105;DĘBLIN ST- 23;51.568811;21.830086
30106;DĘBLIN ST- 24;51.567917;21.831014
30107;DĘBLIN ST- 25;51.572507;21.835819
31696;DĘBLIN ST- 26;         ;         
30109;DĘBLIN ST- 27;51.551812;21.878468
30110;DĘBLIN ST- 28;51.565093;21.864638
30111;DĘBLIN ST- 29;51.577669;21.841325
30112;DĘBLIN ST- 30;         ;         
30114;DĘBLIN ST- 32;         ;         
30115;DĘBLIN ST- 33;         ;         
30116;DĘBLIN ST- 34;51.558082;21.861008
30117;DĘBLIN ST- 35;         ;         
30118;DĘBLIN ST- 36;         ;         
30119;DĘBLIN ST- 37;51.555717;21.860356
30120;DĘBLIN ST- 38;         ;         
30121;DĘBLIN ST- 39;         ;         
30122;DĘBLIN ST- 40;         ;         
30123;DĘBLIN ST- 41;51.550090;21.876220
30124;DĘBLIN ST- 42;         ;         
30125;DĘBLIN ST- 43;51.546521;21.883135
30625;DĘBLIN ST- 44;         ;         
37002;DĘBLIN ST- 45;         ;         
37003;DĘBLIN ST- 46;         ;         
37004;DĘBLIN ST- 47;         ;         
30126;DĘBLIN ST- 48;         ;         
